"stop_id","fermata","descrizione","lat","lon"
621,4616,"Dei Murazzi Sant'Antonio",45.28299,12.304363
622,4617,"Dei Murazzi Centro Civico",45.2799,12.303107
623,4618,"Dei Murazzi Centro Civico",45.280102,12.303529
624,4619,"Dei Murazzi Scuola",45.275307,12.302208
625,4620,"Dei Murazzi Scuola",45.275387,12.302474
626,4621,"Dei Murazzi La Rosa",45.272633,12.301752
627,4622,"Dei Murazzi La Rosa",45.272812,12.302169
628,4623,"Dei Murazzi Campo Stella",45.269112,12.301373
629,4624,"Dei Murazzi Campo Stella",45.269245,12.301788
630,4625,"Imbarco per Chioggia",45.26252,12.300159
631,4628,"Gran Viale SME 4",45.416893,12.368805
632,4629,"Bragadin",45.413021,12.367312
633,4630,"Sandro Gallo Bragadin",45.413223,12.367537
634,4631,"Malamocco Stagnino",45.387493,12.350146
635,4632,"Malamocco Stagnino",45.38736,12.349788
636,4633,"Diacono Malamocco Scuole",45.370167,12.33701
637,4634,"Diacono Malamocco Scuole",45.369865,12.33682
638,4635,"Rava' Rava'",45.423042,12.384836
639,4638,"Campo Tre Rose",45.266838,12.301488
640,4639,"Campo Tre Rose",45.266926,12.301721
641,4641,"Riviera Santa Maria Elisa",45.41748,12.368698
642,4644,"D'Annunzio Ciivico 1",45.419361,12.380493
643,4647,"Gallo Giolito",45.389694,12.351628
644,4650,"Mogliano Buratti",45.572189,12.235341
645,4651,"Mogliano Buratti",45.572418,12.234817
646,4652,"Boschetta",45.580383,12.228699
647,4653,"Boschetta",45.580006,12.228727
648,4654,"Adria Marconi",45.058079,12.059772
649,4655,"Adria Marconi",45.058132,12.059364
650,4656,"Adria Fs",45.060417,12.052422
651,4657,"Martellago Civico 83",45.534691,12.146888
652,4658,"Martellago Civico 83",45.535038,12.146359
653,4661,"Dei Murazzi Campo Sportiv",45.305878,12.312383
654,4662,"Dei Murazzi Campo Sportiv",45.306084,12.312571
655,4663,"Lova Resistenza",45.334801,12.0981
656,4664,"Lova Resistenza",45.334499,12.098167
657,4666,"Rottanova",45.151344,12.010028
658,4667,"Rottanova",45.151581,12.009376
659,4668,"Cona Civico 26",45.179379,12.012508
660,4669,"Tripoli Civico 26",45.17939,12.012841
661,4675,"MESTRE CENTRO B6",45.493885,12.245727
662,4679,"San Silvestro Ballo' FS",45.453373,12.071847
663,4680,"Dolo Veneto",45.426968,12.077444
664,4681,"Dolo Pio X",45.42881,12.074663
665,4686,"Gramsci Meneghetti",45.489689,12.106085
666,4687,"Mirano Meneghetti",45.4897,12.106392
667,4688,"Mirano Firenze",45.486103,12.107016
668,4689,"Mirano Gramsci",45.487377,12.105922
669,4690,"Mira Porte",45.439304,12.139469
670,4692,"Toti Scuole",45.438084,12.127519
671,4693,"Mira Poste",45.435555,12.12147
672,4697,"Miranese Marano FS",45.462662,12.118917
673,4698,"Dolo Pio x",45.428783,12.07448
674,4699,"Dolo Veneto",45.426811,12.077395
675,4704,"Cavarzere Madonne",45.119793,12.101528
676,4705,"Cavarzere Madonne",45.119678,12.101248
677,4718,"Distributore",45.500935,12.054734
678,4725,"Mira 25 Aprile",45.418228,12.152497
679,4726,"Mira 25 Aprile",45.418053,12.152196
680,4727,"Mirano Albinoni",45.484306,12.107591
681,4728,"Porara Albinoni",45.484306,12.107925
682,4729,"Riv. Santa Maria Elisabet",45.418175,12.370293
683,4731,"Brendole Stignano",45.499043,12.214817
684,4732,"Noale Vernice",45.539936,12.064437
685,4733,"Noale Vernice",45.539986,12.065098
686,4738,"Sansovino Vespucci",45.487251,12.25722
687,4745,"Tosatto Paccagnella",45.510635,12.229648
688,4746,"Mira Piscina",45.437565,12.145741
689,4747,"Bernini Pertini",45.435432,12.14412
