"stop_id","fermata","descrizione","lat","lon"
278,2185,"Cornio",45.356663,12.066652
279,2186,"Bojon FS",45.336987,12.08047
280,2187,"Bojon FS",45.337124,12.080537
281,2111,"Piove di Sacco Rusteghell",45.287163,12.030002
282,2112,"Piove di Sacco Ospedale",45.292305,12.031986
283,2114,"Piove di Sacco",45.298344,12.035042
284,2115,"Rosara Longo",45.302803,12.090602
285,2116,"Piove di Sacco Fiumazzo",45.312511,12.077218
286,2117,"Piove di Sacco Civico 29",45.303497,12.056515
287,2118,"Piove di Sacco Rotonda",45.303917,12.038516
288,2119,"Piove di Sacco Rotonda",45.303883,12.038686
289,2120,"Alto Adige Piera",45.315556,12.037087
290,2121,"Alto Adige Piera",45.315472,12.037034
291,2122,"Campolongo Alto Adige",45.315624,12.038021
292,2123,"Campolongo Alto Adige",45.315617,12.038136
293,2124,"Campolongo 8 Marzo",45.323551,12.044011
294,2125,"Campolongo 8 Marzo",45.323318,12.043747
295,2126,"Zara Giarre",45.319218,12.052903
296,3560,"Centro Bonisiolo",45.582474,12.314869
297,3561,"Sottomarina Zeno",45.200657,12.291802
298,3562,"Sottomarina Scuole",45.199223,12.288345
299,3563,"Corso del Popolo Municipi",45.219624,12.279145
300,3564,"Mogliano Centro",45.559334,12.234553
301,3566,"Scorze' Moglianese",45.569149,12.11366
302,3567,"Scorze' Moglianese",45.569187,12.113252
303,3568,"Pertini Carrer",45.485264,12.264924
304,3569,"Correzzola Sasso",45.23407,12.023317
305,3572,"Cavarzere Romea Bruso",45.183628,12.085355
306,3573,"Cona Localita' Bruso",45.181934,12.085074
307,3574,"Pertini Foscari",45.491142,12.269146
308,3579,"Mira Riviera",45.433975,12.132117
309,3580,"Mira Riviera",45.43391,12.132208
310,3581,"Cappelletta Casone",45.568138,12.060826
311,3582,"Cappelletta Casone",45.567921,12.060963
312,3583,"Tosatto Paccagnella",45.511131,12.229644
313,3595,"Martellago Fapanni",45.542831,12.156868
314,3596,"Martellago Fapanni",45.542606,12.157611
315,3599,"Roncoduro Industriale",45.450024,12.076792
316,3600,"Roncoduro Industriale",45.450195,12.075768
317,3601,"Mirano Matteottti",45.495144,12.09304
318,3602,"Mirano Matteotti",45.494926,12.09323
319,3606,"Borgo San Giovanni",45.207527,12.27568
320,3607,"Corte",45.310081,12.07416
321,3608,"Corte Monumento",45.31002,12.074274
322,3610,"Olmo Pellico",45.516895,12.188859
323,3611,"Olmo Pellico",45.516739,12.188991
324,3612,"Selvanese Pleiadi",45.515347,12.19883
325,3613,"Selvanese Pleiadi",45.514793,12.199503
326,3614,"Visinoni Selvanese",45.507008,12.205826
327,3615,"Visinoni Selvanese",45.507057,12.206266
328,3616,"Vigonovo Alfieri",45.406288,11.998025
329,3617,"Vigonovo Alfieri",45.405968,11.998612
330,3621,"Rielta Parco Bissuola",45.502422,12.260678
331,3623,"Scorze' Roma",45.573689,12.106846
332,3624,"Areoporto MARCO POLO",45.504532,12.339361
333,3625,"Aeroporto MARCO POLO",45.50486,12.339336
334,3626,"Aeroporto MARCO POLO",45.50502,12.339317
335,3629,"Casona Vallenari",45.499603,12.26701
336,3630,"Casona Vallenari",45.499531,12.26678
337,3631,"Rielta Ca' Rossa",45.502235,12.255118
338,3644,"Lova San Marco",45.326851,12.124589
339,3648,"Azoto Sottana",45.468193,12.236047
340,3649,"Cavarzere Bellina",45.132,12.065777
341,3650,"Martellago Ariosto",45.568119,12.154022
342,3651,"Martellago Ariosto",45.56797,12.154191
343,3652,"Cavarzere Bellina",45.131874,12.066104
344,3653,"Vallenari Stoppani",45.498562,12.268826
345,3654,"Vallenari Stoppani",45.498512,12.269062
346,3659,"Macchine Bandiera",45.476192,12.233685
347,3661,"Boscochiaro Liberazione",45.134308,12.12182
348,3662,"Boscochiaro Liberazione",45.134151,12.121883
349,3663,"Cavarzere Viola",45.128132,12.131423
350,3664,"Cavarzere Viola",45.127972,12.131321
351,3666,"Zerman",45.579025,12.271363
352,3667,"Quarto d'Altino Zona Indu",45.582977,12.352371
353,4498,"Dei Murazzi Cantiere Nava",45.289604,12.30643
354,4499,"Dei Murazzi Cantiere Nava",45.289619,12.30633
355,4503,"San Nicolo' Cipro",45.424324,12.377388
356,4504,"D'Annunzio Gabriele Civi",45.419327,12.380287
357,4505,"D'Annunzio Pola",45.417839,12.378988
358,4506,"D'Annunzio Gabriele Pola",45.418018,12.37949
359,4507,"D'Annunzio Spiagge Zona A",45.41544,12.376919
360,4508,"D'Annunzio Spiaggie Zona",45.41552,12.37719
361,4511,"Gran Viale Negroponte",45.41597,12.372196
362,4512,"Gran Viale Negroponte",45.41584,12.372262
363,4514,"San Nicolo' Aquileia",45.419773,12.374946
364,4515,"San Nicolo' Aquileia",45.420673,12.375587
365,4516,"San Nicolo' Marco Polo",45.42252,12.376697
366,4517,"San Nicolo' Marco Polo",45.422264,12.376378
367,4518,"San Nicolo' Cipro",45.424397,12.377637
368,4520,"Morandi Aeroporto",45.42712,12.381005
369,4521,"San Nicolo' Chiesa",45.428486,12.380375
370,4522,"Ospizio Marino Cimitero",45.422874,12.382676
371,4523,"San Nicolo' San Nicolo'",45.430191,12.381992
372,2127,"Zara Giarre",45.319035,12.052815
373,2128,"Zara Chiesetta",45.313808,12.06059
374,2129,"Zara Chiesetta",45.313633,12.060658
375,2130,"Sampieri",45.322762,12.076671
376,2131,"Sampieri",45.322609,12.076985
377,2132,"Bojon",45.336967,12.082616
378,2133,"Bojon",45.337135,12.082285
379,2188,"Campagna Lupia Lazzaretto",45.346371,12.08788
380,2189,"Campagna Lupia Lazzaretto",45.346344,12.087694
381,2190,"Campagna Lupia",45.357182,12.092155
382,2191,"Campagna Lupia",45.357456,12.091927
383,2192,"Premaore",45.3629,12.067897
384,2193,"Premaore",45.362614,12.06789
385,2194,"Camponogara Alighieri",45.368114,12.066194
386,2195,"Camponogara Alighieri",45.368332,12.066544
387,2196,"Prozzolo",45.368229,12.094228
388,2197,"Prozzolo",45.367039,12.093798
389,2198,"Prozzolo Chiesa",45.36982,12.088703
390,2199,"Prozzolo Chiesa",45.369583,12.088607
391,2200,"Camponogara Civico 41",45.373821,12.068981
392,2201,"Camponogara Civico 41",45.37373,12.06841
393,2202,"Camponogara Matteotti",45.381569,12.079524
394,2203,"Camponogara Matteotti",45.381889,12.079711
395,2204,"Camponogara IV Novembre",45.382599,12.079156
396,2205,"Camponogara IV Novembre",45.382614,12.077571
397,2206,"Camponogara Matteotti",45.383339,12.073948
398,2207,"Camponogara Matteotti",45.383194,12.073959
399,2208,"Camponogara Arzerini",45.38699,12.072034
400,2209,"Camponogara Arzerini",45.386967,12.071756
401,2210,"Camponogara Premaore",45.382561,12.067958
402,2211,"Camponogara Premaore",45.382725,12.067878
403,2212,"Fosso' Verdi",45.383118,12.057597
404,2213,"Fosso' Verdi",45.38327,12.057682
405,2214,"Camponogara Diedo",45.377396,12.096272
406,2215,"Camponogara Diedo",45.377213,12.095795
407,2216,"Calcroci Cavour",45.384769,12.09773
408,2217,"Calcroci Cavour",45.384647,12.097363
409,2218,"Calcroci Chiesa",45.385136,12.098729
410,2219,"Calcroci Volta",45.385754,12.1
411,2220,"Camponogara Volta",45.386257,12.116478
412,2221,"Camponogara Volta",45.386429,12.116395
413,2222,"Lughetto Marzabotto",45.387905,12.125905
414,2223,"Lughetto Marzabotto",45.387833,12.126177
415,2224,"Marghera Romea",45.390163,12.139162
416,2225,"Marghera Romea",45.390057,12.139142
417,2226,"Camponogara civico 51",45.394394,12.099977
418,2227,"Camponogara Civico 51",45.394634,12.099228
419,2228,"Dolo Marinelle",45.404911,12.102017
420,2229,"Dolo Marinelle",45.404896,12.101404
421,2230,"Sambruson",45.413307,12.099564
422,2231,"Sambruson",45.413406,12.099524
423,2232,"Sanbruson Vannuzzo",45.413422,12.101236
424,2233,"Sanbruson Vannuzzo",45.413254,12.101154
425,2234,"Dolo Carrezzioi",45.413994,12.110518
426,2235,"Sanbruson Carrezzioi",45.414173,12.110318
427,2236,"Sanbruson Ferrovia",45.416191,12.122698
428,2237,"Dolo Ferrovia",45.415981,12.122864
429,2238,"Mira Montessori",45.417976,12.132416
430,2239,"Mira Montessori",45.417786,12.132359
431,2240,"Mira Campi",45.419483,12.140216
432,2241,"Mira Campi",45.419525,12.140527
433,2242,"Mira Piazza Vecchia",45.417362,12.148179
434,2243,"Mira Piazza Vecchia",45.417404,12.147795
435,2244,"Mira Bellini",45.420635,12.15197
436,2245,"Gambarare Bellini",45.420628,12.151751
437,2246,"Gambarare",45.425087,12.152338
438,2247,"Chiesa Gambarare",45.424805,12.152003
439,2248,"Mira Matteotti",45.434879,12.139224
440,2250,"Mira Municipio",45.433239,12.124257
441,2251,"Mira centro",45.433758,12.121794
442,2252,"Mira Alfieri",45.434532,12.121022
443,2253,"Mira Alighieri",45.435337,12.129656
444,2254,"Mira Alighieri",45.435535,12.1294
445,2256,"Mira Porte",45.440193,12.140676
446,2257,"Mira Porte",45.440311,12.140554
447,2258,"Mira Riscossa",45.442039,12.146686
448,2260,"Mira Albrizzi",45.432266,12.113758
449,2261,"Dolo Civico 75",45.427326,12.104405
450,2263,"Dolo Manzoni",45.425667,12.081298
451,2264,"Dolo Manzoni",45.425579,12.08131
452,4524,"Santa Maria Elisabetta SM",45.417561,12.368731
453,4525,"P.le S.M.Elisabetta SME 1",45.417439,12.368489
454,4527,"Ospizio Marino Cimitero",45.422798,12.382405
455,4528,"Gallo Contarin",45.411804,12.366909
456,4529,"Gallo Contarin",45.411369,12.366901
457,4530,"Gallo Barbarigo",45.409149,12.365871
458,4531,"Gallo Barbarigo",45.409649,12.366213
459,4532,"Gallo Morosini",45.405556,12.363879
460,4533,"Gallo Morosini",45.405663,12.364234
461,4534,"Gallo Paruta",45.402821,12.361871
462,4535,"Gallo Paruta",45.403084,12.362309
463,4536,"Gallo Morosini",45.401276,12.360689
464,4537,"Gallo Morosini",45.401508,12.361128
465,4538,"Gallo Torta",45.399082,12.359012
466,4539,"Gallo Torta",45.399181,12.359373
467,4540,"Colombo Gallo",45.398212,12.358964
468,4541,"Colombo Gallo",45.398247,12.359227
469,4542,"Marconi Coralli",45.398521,12.361918
470,4543,"Marconi Coralli",45.39819,12.361495
471,4544,"Marconi Loredan",45.400845,12.363631
472,4545,"Marconi Loredan",45.400513,12.363163
473,4548,"Marconi Morosini",45.405384,12.367559
474,4549,"Marconi Morosini",45.404995,12.366851
475,4550,"Lungomare Marconi Marcell",45.408398,12.370925
476,4551,"Lungomare Marconi Marcell",45.407921,12.370271
477,4552,"Marconi Fiume",45.411606,12.373806
478,4553,"Marconi Fiume",45.411327,12.373337
479,4554,"Marconi Gran Viale",45.413883,12.375796
480,4555,"Marconi GranViale",45.413788,12.37551
481,4556,"Gallo Galoppatoio",45.397747,12.357951
482,4557,"Gallo Galoppatoio",45.397907,12.358381
483,4558,"Gallo Bibblioteca",45.396366,12.356903
484,4559,"Gallo Bibblioteca",45.396755,12.357453
485,4560,"Gallo Dei Giunta",45.394646,12.355569
486,4561,"Gallo Dei Giunta",45.394848,12.356008
487,4562,"Gallo Dei Kinchmayer",45.392471,12.353857
488,4563,"Gallo Dei Kinchmayer",45.392597,12.354213
489,4564,"Gallo Giolito",45.389816,12.352042
490,4565,"Malamocco Occhi",45.384689,12.347568
491,4566,"Malamocco Occhi",45.385845,12.348901
492,4567,"Malamocco Alvisopoli",45.382938,12.346194
493,4568,"Malamocco Alvisopoli",45.383129,12.346588
494,4569,"Malamocco Parri",45.37907,12.342971
495,4570,"Malamocco Parri",45.379635,12.34373
496,4571,"Malamocco Bassanello",45.374229,12.338304
497,4572,"Malamocco Bassanello",45.374283,12.33865
498,4573,"Diacono Malamocco",45.371658,12.336782
499,4575,"Diacono Malamocco",45.372002,12.336955
500,4576,"Alberoni Galla",45.366581,12.33527
501,4577,"Alberoni Galla",45.36668,12.335499
502,4578,"Alberoni Civico 41",45.360973,12.332125
503,4579,"Alberoni Civico 41",45.361156,12.332352
504,4580,"Alberoni Colonia Morosini",45.35844,12.329723
505,4581,"Alberoni Colonia Morosini",45.358528,12.329983
506,4582,"Alberoni San Camillo",45.354595,12.326283
507,4583,"Alberoni San Camillo",45.354729,12.326589
508,4584,"Alberoni Stella Maris",45.352135,12.324331
509,4585,"Alberoni Stella Maris",45.352306,12.324622
510,4586,"Alberoni Ca' Rossa",45.348988,12.319267
511,4587,"Alberoni Ca' Rossa",45.348858,12.319654
512,4588,"Zaffi da Barca Ferry",45.341656,12.309396
513,4589,"Della Droma Chiesa",45.347122,12.317904
514,4590,"Della Droma  Chiesa",45.347221,12.318443
515,4591,"Zaffi da Barca Golf Club",45.345154,12.315077
516,4592,"Zaffi da Barca Golf Club",45.345154,12.315342
517,4593,"Zaffi da Barca Sbarco Fer",45.341427,12.309233
518,4594,"Zaffi da Barca Faro Rocch",45.340984,12.309658
519,4595,"Santa Maria Del Mare",45.332634,12.317971
520,4596,"Santa Maria Del Mare",45.332775,12.317962
521,4597,"Dei Murazzi Belvedere",45.323174,12.320036
522,4598,"Dei Murazzi Belvedere",45.323395,12.320398
523,4599,"Dei Murazzi Di Botta",45.318851,12.317818
524,4600,"Dei Murazzi Di Botta",45.319019,12.31808
525,4601,"Dei Murazzi San Pietro In",45.315151,12.315881
526,4602,"Dei Murazzi San Pietro In",45.315346,12.31614
527,4603,"Dei Murazzi Cimitero",45.31263,12.314828
528,4604,"Dei Murazzi Cimitero",45.312805,12.315086
529,4605,"Dei Murazzi Porto Secco",45.310135,12.313874
530,4606,"Dei Murazzi Porto Secco",45.310356,12.314203
531,2265,"Dolo Monache",45.418705,12.087007
532,2266,"Dolo Monache",45.418858,12.087006
533,2267,"Dolo Doria",45.42157,12.079507
534,2268,"Dolo Doria",45.421734,12.079485
535,2269,"Dolo Guardiana",45.421078,12.078527
536,2270,"Dolo Guardiana",45.421104,12.078829
537,2271,"Dolo Alture",45.411701,12.082251
538,2272,"Dolo Alture",45.411327,12.081698
539,2273,"Camponogara Artigiani",45.389736,12.073627
540,2274,"Camponogara Artigiani",45.389717,12.073156
541,2275,"Campoverardo",45.393501,12.06226
542,2276,"Campoverardo",45.393612,12.062115
543,2277,"Campoverardo Centro",45.394302,12.062325
544,2278,"Campoverardo Centro",45.394115,12.062175
545,2279,"Campoverardo Civico 57",45.390671,12.057688
546,2280,"Campoverardo civico 57",45.390751,12.05748
547,2281,"Fosso' Favalli",45.394161,12.050577
548,2282,"Fosso' Favalli",45.394096,12.050426
549,2283,"Paluello Veneto",45.40876,12.051836
550,2284,"Paluello Veneto",45.408794,12.051694
551,2285,"Paluello",45.411747,12.05397
552,2286,"Paluello",45.411728,12.053779
553,2287,"Fiesso Padana",45.417149,12.052522
554,2288,"Fiesso d'Artico Padana",45.417496,12.052273
555,2289,"Fiesso Gemito",45.418938,12.060034
556,2290,"Fiesso Gemito",45.419174,12.059919
557,2291,"Dolo Centro",45.423599,12.074698
558,2292,"Dolo Centro",45.423615,12.074477
559,2293,"Fiesso Bandiera",45.417713,12.045567
560,2294,"Fiesso D'Artico Bandiera",45.41787,12.045483
561,2295,"Fiesso Centro",45.416752,12.034814
562,2296,"Fiesso Centro",45.416962,12.034814
563,2297,"Fiesso D'Artico Pioghella",45.416389,12.025122
564,2298,"Fiesso Pioghella",45.416248,12.02534
565,2299,"Stra' Bassa",45.405853,12.039575
566,2300,"Stra' Bassa",45.406055,12.039568
567,2301,"San Pietro Civico 128",45.407146,12.029056
568,2302,"Pertile Civico 128",45.406979,12.029053
569,2303,"San Pietro Isonzo",45.404434,12.019076
570,2304,"San Pietro Isonzo",45.40432,12.019219
571,2305,"Stra' San Pietro",45.405163,12.015689
572,2306,"Stra' San Pietro",45.405052,12.015465
573,2307,"Stra Crispino",45.407249,12.013207
574,2308,"Stra Loredan",45.407875,12.006717
575,2309,"Stra Piazza Marconi",45.409458,12.00586
576,2310,"Stra Piazza Marconi",45.409367,12.005611
577,2311,"Stra Dante",45.413853,12.001616
578,2312,"Stra Dante",45.413677,12.00156
579,2313,"Capriccio Centro",45.418785,11.987503
580,2314,"Capriccio Centro",45.418621,11.987434
581,2315,"Perarolo Quartiere Pavan",45.421772,11.979606
582,2316,"Perarolo Quatiere Pavan",45.422039,11.978552
583,2317,"Vigonza Perarolo",45.426533,11.963328
584,2318,"Vigonza Perarolo",45.426361,11.963326
585,2319,"Busa di Vigonza Centro",45.428459,11.953928
586,2320,"Busa di Vigonza Centro",45.428635,11.953702
587,2321,"Ponte di Brenta Centro",45.425484,11.947749
588,2322,"Ponte di Brenta Centro",45.425629,11.947614
589,2323,"Ponte di Brenta Lago",45.423409,11.941845
590,2324,"Ponte di Brenta Lago",45.423271,11.941933
591,2325,"Padova Est",45.420361,11.933455
592,2326,"Padova Est",45.42001,11.93355
593,2327,"Padova San Lazzaro",45.417446,11.924695
594,2328,"Padova Stanga",45.415257,11.919618
595,2333,"Padova Turazza",45.409782,11.899809
596,2335,"Cazzago Pascoli",45.43417,12.074752
597,2336,"Cazzago Pascoli",45.434555,12.074988
598,2337,"Dolo Municipio",45.426273,12.074677
599,2338,"Dolo Municipio",45.425991,12.074502
600,2339,"Cazzago",45.439095,12.074393
601,2340,"Cazzago",45.439503,12.074052
602,2341,"Martellago Centro Anziani",45.544022,12.15735
603,2342,"Cazzago",45.439632,12.073278
604,2343,"Scorze' Ortigara",45.569508,12.114352
605,2344,"Scorze' Ortigara",45.569901,12.115216
606,2345,"Cazzaghetto Zona Industri",45.439899,12.06366
607,2346,"Cazzaghetto Zona Industri",45.440037,12.06351
608,2347,"Cazzaghetto Parolini",45.440174,12.056026
609,2348,"Cazzaghetto Parolini",45.440037,12.055861
610,2349,"Cazzaghetto Arino",45.43885,12.049445
611,2350,"Cazzaghetto Arino",45.43898,12.049426
612,4607,"Dei Murazzi Mara",45.301357,12.310891
613,4608,"Dei Murazzi Mara",45.301598,12.311175
614,4609,"Dei Murazzi Civico 1250",45.297134,12.309291
615,4610,"Dei Murazzi Civico 1250",45.297485,12.309616
616,4611,"Dei Murazzi Civico 1232",45.291706,12.30724
617,4612,"Dei Murazzi Civico 1232",45.291866,12.30747
618,4613,"Dei Murazzi Piovini",45.286125,12.305267
619,4614,"Dei Murazzi Piovini",45.28611,12.305382
620,4615,"Dei Murazzi Sant' Antonio",45.282776,12.304142
