,id,data_validazione,seriale,fermata,descrizione,titolo,descrizione_titolo,lon,lat
33935,12461091,2023-02-13 14:21:00,65694526719949061,5031,"P.le Roma ""G",11101,"75'-Tpl 8,64-ComVe0,86",12.319038,45.438816
33936,12423868,2023-02-13 09:43:00,65694526720143621,30,Miranese Iva,14124,Extra tratta 4 ,12.197292,45.484898
33937,12455279,2023-02-13 13:36:00,65694526720144389,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33938,12505088,2023-02-13 20:20:00,65694526720277765,5039,"Rialto ""C""",11101,"75'-Tpl 8,64-ComVe0,86",12.335405,45.437428
33939,12405516,2023-02-13 06:05:00,65694526720669957,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33940,12405567,2023-02-13 06:07:00,65694526720669957,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33941,12486577,2023-02-13 17:14:00,65694526720670981,5031,"P.le Roma ""G",11101,"75'-Tpl 8,64-ComVe0,86",12.319038,45.438816
33942,12443935,2023-02-13 12:06:00,65694526720930821,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33943,12405518,2023-02-13 06:05:00,65694526720931333,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33944,12494247,2023-02-13 18:08:00,65694526721126917,505,Venezia Piaz,7008,ARRIVA VENETO tratta 8-9-10,12.319076,45.43784
33945,12462314,2023-02-13 14:30:00,65694526721258245,5031,"P.le Roma ""G",11101,"75'-Tpl 8,64-ComVe0,86",12.319038,45.438816
33946,12443936,2023-02-13 12:06:00,65694526721912837,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33947,12505104,2023-02-13 20:21:00,65694526722306309,5039,"Rialto ""C""",11101,"75'-Tpl 8,64-ComVe0,86",12.335405,45.437428
33948,12405517,2023-02-13 06:05:00,65694526722700549,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33949,12429420,2023-02-13 10:22:00,65694526723027205,5040,"Rialto ""B""",11107,"48h-Tpl 29,90-ComVe5,10",12.334779,45.437088
33950,12468074,2023-02-13 15:12:00,65694526723027205,5113,"Burano ""C""",11107,"48h-Tpl 29,90-ComVe5,10",12.416754,45.487572
33951,12462606,2023-02-13 14:33:00,65694526723289605,5066,Murano Venie,11149,"7gg-Tpl 48,60-ComVe16,40",12.351191,45.457447
